list_name,name,label::english,,label::arabic
qg300R,unprotected_well,Unprotected rainwater tank/well/spring,,
qg300R,surface_water,"Surface water (river, dam, lake, pond, stream, canal)",,
qg400R,flush_latrine_to_tank_sewage_system_pit,Flush latrine to a tank/sewer system/pit,,
qg400R,flush_latrine_to_the_open,Flush latrine to the open,,
qg400R,pit_latrine_covered,Pit latrine-covered,,
qg400R,pit_latrine_open,Pit latrine-open,,
qg400R,open_defecation,Open defection,,
qg500R,own_house_apartment,Own house/apartment,,
qg500R,makeshift_shelter,Makeshift shelter,,
qg500R,host_family_house_apartment,Host family house/apartment,,
qg500R,emergency_shelter,Emergency shelter,,
qg500R,rented_house_appartment,Rented house/appartment,,
qg500R,transitional_shelter,Transitional shelter,,
qg500R,public_building,Public building,,
qg500R,open_air_no_shelter,Open air (no shelter),,
ngo,ado,Abs Development Organization (ADO),,
ngo,acf,Action Contre la Faim (ACF),,
ngo,acted,ACTED,,
ngo,adra,Adventist Development Relief Agency,,
ngo,aobwc,Alaman Organization for Blind Women Care (AOWBC),,
ngo,hyac,Al-hikma Al-yamania Association for Charity,,
ngo,agfd,All Girls Foundation for Development (AGFD),,
ngo,bchd,Bene Charity for Humanitarian Development,,
ngo,bfd,Building Foundation for Development (BFD),,
ngo,care,CARE,,
ngo,drc,Danish Refugee Council (DRC),,
ngo,deem,DEEM,,
ngo,erc,Emirates Red Crescent (ERC),,
ngo,eshah,Eshah Foundation,,
ngo,gwq,Generations Without Qat (GWQ),,
ngo,gyi,Good Youth Initiative (GYI),,
ngo,grassroots,Grassroots Yemen,,
ngo,intersos,INTERSOS,,
ngo,iom,IOM,,
ngo,irc,International Rescue Committee (IRC),,
ngo,jaf,Jeel Al-Bena Foundation,,
ngo,jaahd,Jeel Albena Association for Humanitarian Development (JAAHD),,
ngo,king_salman,King Salman Humanitarian Aid and Relief Center (KSRelief),,
ngo,lifd,Look Inside Foundation Development (LIFD),,
ngo,mdf,Millenium Development Foundation,,
ngo,nmo,Nahda Makers Organization (NMO),,
ngo,nrc,Norwegian Refugee Council (NRC),,
ngo,pwp,Public Works Project,,
ngo,ph,Pure Hands,,
ngo,rsd,Raeduun Foundation for Development,,
ngo,sci,Save the Children,,
ngo,sydf,Sama Al Yemen Development Foundation (SYDF),,
ngo,shs,Society for Humanitarian Solidarity (SHS),,
ngo,sol,Solidarity International (SI),,
ngo,sdf,Sustainable Development Foundation (SDF),,
ngo,tayba,Tayba Foundation for Development,,
ngo,tabaya,Tabaya Foundation for Development,,
ngo,unhcr,UNHCR,,
ngo,unicef,UNICEF,,
ngo,unicef_yco,UNICEF & Youth Creative Organization for Development and Peace,,
ngo,wfp,World Food Programme (WFP),,
ngo,yard,Yemen Al-khair for Relief and Development (YARD),,
ngo,ydf,Yemen Development Foundation (YDF),,
ngo,ydn,Yemeni Development Network (YDN),,
ngo,ygusswp,"Yemen General Union of Sociologists, Social Workers, and Psychologists",,
ngo,yrcs,Yemen Red Crescent Society (YRCS),,
ngo,ywu,Yemen Women Union (YWU),,
ngo,fight_hunger,Fight Hunger,,
ngo,tuba,Tuba Foundation,,
ngo,fga,Fountain of Goodness Association,,
ngo,tehama,Tehama for Development,,
ngo,almaroof,Almaroof Makers,,
ngo,not_available,N/A,,
ngo,other,Other,,
ngo,charity_spring,Charity Spring Foundation,,
ngo,nfdhr,National Foundation for Development & Humanitarian Response (NFDHR),,
ngo,afd,Al-Amal Foundation for Development (AFD),,
ngo,diversite,Diversite,,
ngo,mdf,Marib Dam Foundation,,
ngo,fmf,Field Medical Foundation (FMF),,
ngo,iry,Islamic Relief Yemen (IRY),,
ngo,cssw,Charitable Society for Social Welfare (CSSW),,
ngo,mercy,Mercy Corps,,
ngo,oxfam,Oxfam,,
ngo,mayar,Mayar Foundation,,
ngo,hrf,Human Relief Foundation (HRF),,
ngo,radf,Rawabi Al-Nahda Development Foundation (RADF),,
ngo,msf,Medecins Sans Frontieres (MSF),,
ngo,soul,Soul Yemen,,
ngo,qrs,Qatar Red Crescent (QRS),,
ngo,yco,Youth Creative Organization for Development and Peace (YCO),,
ngo,sfd,Social Fund for Development,,
ngo,war_child,War Child,,
ngo,who,World Health Organization (WHO),,
ngo,tamdeen,Tamdeen Youth Foundation,,
ngo,sa,SAWT Association,,
ngo,bchr,Benevolence Coalition for Humanitarian Relief (BCHR),,
ngo,sc,Sultan Center,,
ngo,ayf,Abyan Youth Foundation,,
ngo,garwsp,General Authority for Rural Water Projects,,
ngo,vh,Vision Hope,,
ngo,mcc,Motherhood and Childhood Center,,
ngo,rmcs,Al Rahma Medical Charitable Society,,
ngo,stf,Sanabel Tahama (Social Charitable) Foundation ,,
ngo,amf,Atrahum Medical Foundation ,,
ngo,ri,Relief International,,
ngo,imc,International Medical Corps,,
ngo,hayac,HAYAC,,
ngo,mmf,Medical Mercy Foundation,,
ngo,unicef_vh,UNICEF & Vision Hope,,
ngo,yfca,Yemen Family Care Association,,
ngo,ain,Al Ain Charitable Organization,,
ngo,rohr,Raqeep Organization for Human Rights ,,
ngo,scrd,Sana'a Coalition for Relief and Development,,
ngo,crb,CRB,,
ngo,estijabah,Estijabah Foundation for Humanitarian Aid and Relief,,
ngo,cssw_mab,Charitable Society for Social Welfare (CSSW) & Muslim Association of Britain,,
ngo,unicef_estijabah,UNICEF & Estijabah Foundation for Humanitarian Aid and Relief,,
ngo,iom_bfd,IOM & Building Foundation for Development ,,
ngo,iom_cssw,IOM & Charitable Society for Social Welfare (CSSW),,
ngo,DRC_YRC,Danish Refugee Council (DRC) & Yemen Red Crescent Society (YRCS),,
ngo,DRC_Oxfam,Danish Refugee Council (DRC) & Oxfam,,
ngo,YRC_GARWSP,Yemen Red Crescent Society (YRCS) & General Authority for Rural Water Projects (GARWSP),,
ngo,DRC_GARWSP,Danish Refugee Council (DRC) & General Authority for Rural Water Projects (GARWSP_,,
ngo,af,Al Amen Foundation,,
ngo,iom_drc,IOM & Danish Refugee Council,,
ngo,wfp_iry,WFP & Islamic Relief Yemen,,
ngo,wfp_care,WFP & CARE,,
ngo,ri_iry,Islamic Relief Yemen & Relief International ,,
ngo,angila,Angila Foundation,,
ngo,nmo_hyac,Nahda Makers Organization (NMO) & Al-Hikma Al-Yamania Association for Charity (HYAC),,
ngo,drc_vhi,Danish Refugee Council (DRC) & Vision Hope International (VHI),,
ngo,vhi,Vision Hope International (VHI),,
ngo,fmf_sol,Field Medical Foundation (FMF) & Solidarity International (SI),,
ngo,un_habitat,UN Habitat,,
ngo,FHI360 ,FHI360 ,,
ngo,Altwasul_Kuwaiti ,Altwasul Kuwaiti,,
ngo,icrc,ICRC,,
ngo,sdhgf,Social Development Hodeidah Girls Foundation (SDHGF),,
ngo,world_bank,World Bank,,
ngo,sfhrp,SFHRP,,
ngo,itdc,International Training and Development Centre (ITDC),,
ngo,adra_fmf,Adventist Development Relief Agency (ADRA) & Field Medical Foundation (FMF),,
ngo,nrc_oxfam,Norwegian Refugee Council (NRC) & OXFAM,,
ngo,nrc_ywu,Norwegian Refugee Council (NRC) & Yemen Women Union (YWU),,
ngo,tayba_drc,Danish Refugee Council (DRC) & Tayba Foundation for Development,,
ngo,drc_fmf_shs,"Danish Refugee Council (DRC), Field Medical Foundation (FMF) & Society for Humanitarian Solidarity (SHS)",,
ngo,tiba,Tiba Foundation,,
ngo,cif,Climate Investment Fund (CIF),,
formal_informal,formal,Formal,,
formal_informal,informal,Informal,,
site_management,government,Government,,
site_management,private,Private,,
site_management,ngo_un_agency,NGO/UN agency,,
site_management,non_existent,Non-existent,,
,,,,
,,,,
,,,,
governorate,YE11,Ibb,,
governorate,YE12,Abyan,,
governorate,YE13,Sana'a City,,
governorate,YE14,Al Bayda,,
governorate,YE15,Ta'iz,,
governorate,YE16,Al Jawf,,
governorate,YE17,Hajjah,,
governorate,YE18,Al Hodeidah,,
governorate,YE19,Hadramawt,,
governorate,YE20,Dhamar,,
governorate,YE21,Shabwah,,
governorate,YE22,Sa'dah,,
governorate,YE23,Sana'a,,
governorate,YE24,Aden,,
governorate,YE25,Lahj,,
governorate,YE26,Ma'rib,,
governorate,YE27,Al Mahwit,,
governorate,YE28,Al Maharah,,
governorate,YE29,Amran,,
governorate,YE30,Ad Dali',,
governorate,YE31,Raymah,,
governorate,YE32,Socotra,,
,,,,
,,,,
governorate1,YE11,Ibb,,
governorate1,YE12,Abyan,,
governorate1,YE13,Sana'a City,,
governorate1,YE14,Al Bayda,,
governorate1,YE15,Ta'iz,,
governorate1,YE16,Al Jawf,,
governorate1,YE17,Hajjah,,
governorate1,YE18,Al Hodeidah,,
governorate1,YE19,Hadramawt,,
governorate1,YE20,Dhamar,,
governorate1,YE21,Shabwah,,
governorate1,YE22,Sa'dah,,
governorate1,YE23,Sana'a,,
governorate1,YE24,Aden,,
governorate1,YE25,Lahj,,
governorate1,YE26,Ma'rib,,
governorate1,YE27,Al Mahwit,,
governorate1,YE28,Al Maharah,,
governorate1,YE29,Amran,,
governorate1,YE30,Ad Dali',,
governorate1,YE31,Raymah,,
governorate1,YE32,Socotra,,
district1,YE1101,Al Qafr,,
district1,YE1102,Yarim,,
district1,YE1103,Ar Radmah,,
district1,YE1104,An Nadirah,,
district1,YE1105,Ash Sha'ir,,
district1,YE1106,As Saddah,,
district1,YE1107,Al Makhadir,,
district1,YE1108,Hobeish,,
district1,YE1109,Hazm Al Odayn,,
district1,YE1110,Far' Al Odayn,,
district1,YE1111,Al Odayn,,
district1,YE1112,Jiblah,,
district1,YE1113,Ba'dan,,
district1,YE1114,As Sabrah,,
district1,YE1115,As Saiyani,,
district1,YE1116,Dhi As Sufal,,
district1,YE1117,Mudhaykhirah,,
district1,YE1118,Al Mashannah,,
district1,YE1119,Adh Dhihar,,
district1,YE1120,Ibb,,
district1,YE1201,Al Mahfad,,
district1,YE1202,Mudiyah,,
district1,YE1203,Jayshan,,
district1,YE1204,Lawdar,,
district1,YE1205,Sibah,,
district1,YE1206,Rassd,,
district1,YE1207,Sarar,,
district1,YE1208,Al Wadi',,
district1,YE1209,Ahwar,,
district1,YE1210,Zinjibar,,
district1,YE1211,Khanfar,,
district1,YE1301,Old City,,
district1,YE1302,Shu'ub,,
district1,YE1303,Azaal,,
district1,YE1304,As Safiyah,,
district1,YE1305,As Sab'in,,
district1,YE1306,Al Wehdah,,
district1,YE1307,At Tahrir,,
district1,YE1308,Ma'in,,
district1,YE1309,Ath Thawrah,,
district1,YE1310,Bani Al Harith,,
district1,YE1319,Sana'a City Outskirts - Hamdan,,
district1,YE1324,Sana'a City Outskirts -Sanhan wa Bani Bahlul,,
district1,YE1401,Nu'man,,
district1,YE1402,Nati',,
district1,YE1403,Maswarah,,
district1,YE1404,As Sawma'ah,,
district1,YE1405,Az Zahir,,
district1,YE1406,Dhi Na'im,,
district1,YE1407,At Taffah,,
district1,YE1408,Mukayras,,
district1,YE1409,Al Bayda City,,
district1,YE1410,Al Bayda,,
district1,YE1411,As Sawadiyah,,
district1,YE1412,Radman,,
district1,YE1413,Rada',,
district1,YE1414,Al Quraishyah,,
district1,YE1415,Wald Rabi',,
district1,YE1416,Al Arsh,,
district1,YE1417,Sabah,,
district1,YE1418,Ar Ryashyyah,,
district1,YE1419,Ash Sharyah,,
district1,YE1420,Al Malajim,,
district1,YE1501,Mawiyah,,
district1,YE1502,Shar'ab As Salam,,
district1,YE1503,Shar'ab Ar Rawnah,,
district1,YE1504,Maqbanah,,
district1,YE1505,Al Makha,,
district1,YE1506,Dhubab,,
district1,YE1507,Mawza',,
district1,YE1508,Jabal Habashi,,
district1,YE1509,Mashr'ah Wa Hadnan,,
district1,YE1510,Sabir Al Mawadim,,
district1,YE1511,Al Misrakh,,
district1,YE1512,Dimnat Khadir,,
district1,YE1513,As Silw,,
district1,YE1514,Ash Shamayatayn,,
district1,YE1515,Al Wazi'yah,,
district1,YE1516,Hayfan,,
district1,YE1517,Al Mudhaffar,,
district1,YE1518,Al Qahirah,,
district1,YE1519,Salah,,
district1,YE1520,At Ta'iziyah,,
district1,YE1521,Al Ma'afer,,
district1,YE1522,Al Mawasit,,
district1,YE1523,Sami',,
district1,YE1601,Khab wa Ash Sha'f,,
district1,YE1602,Al Humaydat,,
district1,YE1603,Al Matammah,,
district1,YE1604,Az Zahir,,
district1,YE1605,Al Hazm,,
district1,YE1606,Al Mutun,,
district1,YE1607,Al Maslub,,
district1,YE1608,Al Ghayl,,
district1,YE1609,Al Khalaq,,
district1,YE1610,Barat Al Anan,,
district1,YE1611,Rajuzah,,
district1,YE1612,Kharab Al Marashi,,
district1,YE1701,Bakil Al Mir,,
district1,YE1702,Harad,,
district1,YE1703,Midi,,
district1,YE1704,Abs,,
district1,YE1705,Hayran,,
district1,YE1706,Mustaba,,
district1,YE1707,Kushar,,
district1,YE1708,Al Jamimah,,
district1,YE1709,Kuhlan Ash Sharaf,,
district1,YE1710,Aflah Ash Sham,,
district1,YE1711,Khayran Al Muharraq,,
district1,YE1712,Aslam,,
district1,YE1713,Qafl Shammar,,
district1,YE1714,Aflah Al Yaman,,
district1,YE1715,Al Mahabishah,,
district1,YE1716,Al Miftah,,
district1,YE1717,Al Maghrabah,,
district1,YE1718,Kuhlan Afar,,
district1,YE1719,Sharas,,
district1,YE1720,Mabyan,,
district1,YE1721,Ash Shahil,,
district1,YE1722,Ku'aydinah,,
district1,YE1723,Wadrah,,
district1,YE1724,Bani Qays,,
district1,YE1725,Ash shaghadirah,,
district1,YE1726,Najrah,,
district1,YE1727,Bani Al Awam,,
district1,YE1728,Hajjah City,,
district1,YE1729,Hajjah,,
district1,YE1730,Washhah,,
district1,YE1731,Qarah,,
district1,YE1801,Az Zuhrah,,
district1,YE1802,Alluhayah,,
district1,YE1803,Kamaran,,
district1,YE1804,As Salif,,
district1,YE1805,Al Munirah,,
district1,YE1806,Al Qanawis,,
district1,YE1807,Az Zaydiah,,
district1,YE1808,Al Mighlaf,,
district1,YE1809,Ad Dohi,,
district1,YE1810,Bajil,,
district1,YE1811,Al Hujjaylah,,
district1,YE1812,Bura',,
district1,YE1813,Al Marawi'ah,,
district1,YE1814,Ad Durayhimi,,
district1,YE1815,As Sukhnah,,
district1,YE1816,Al Mansuriyah,,
district1,YE1817,Bayt Al Faqih,,
district1,YE1818,Jabal Ras,,
district1,YE1819,Hays,,
district1,YE1820,Al Khukhah,,
district1,YE1821,Al Hawak,,
district1,YE1822,Al Mina,,
district1,YE1823,Al Hali,,
district1,YE1824,Zabid,,
district1,YE1825,Al Jarrahi,,
district1,YE1826,At Tuhayta,,
district1,YE1901,Rumah,,
district1,YE1902,Thamud,,
district1,YE1903,Al Qaff,,
district1,YE1904,Zamakh wa Manwokh,,
district1,YE1905,Hajar As Say'ar,,
district1,YE1906,Al Abr,,
district1,YE1907,Al Qatn,,
district1,YE1908,Shibam,,
district1,YE1909,Sah,,
district1,YE1910,Sayun,,
district1,YE1911,Tarim,,
district1,YE1912,As Sawm,,
district1,YE1913,Ar Raydah wa Qussay'ar,,
district1,YE1914,Ad Dis,,
district1,YE1915,Ash Shihr,,
district1,YE1916,Ghayl bin Yamin,,
district1,YE1917,Ghayl Bawazir,,
district1,YE1918,Daw'an,,
district1,YE1919,Wadi Al Ayn,,
district1,YE1920,Rakhyah,,
district1,YE1921,Amd,,
district1,YE1922,Ad Dulay'ah,,
district1,YE1923,Yab'uth,,
district1,YE1924,Hajar,,
district1,YE1925,Brum Mayf'ah,,
district1,YE1926,Al Mukalla,,
district1,YE1927,Al Mukalla City,,
district1,YE1928,Haridah,,
district1,YE2001,Al Hada,,
district1,YE2002,Jahran,,
district1,YE2003,Jabal Ash sharq,,
district1,YE2004,Maghrib Ans,,
district1,YE2005,Otmah,,
district1,YE2006,Wusab Al Aali,,
district1,YE2007,Wusab As Safil,,
district1,YE2008,Dhamar City,,
district1,YE2009,Mayfa'at Ans,,
district1,YE2010,Ans,,
district1,YE2011,Dawran Anis,,
district1,YE2012,Al Manar,,
district1,YE2101,Dahr,,
district1,YE2102,At Talh,,
district1,YE2103,Jardan,,
district1,YE2104,Arma'a,,
district1,YE2105,Osaylan,,
district1,YE2106,Ayn,,
district1,YE2107,Bayhan,,
district1,YE2108,Markhah Al Olya,,
district1,YE2109,Markhah As Sufla,,
district1,YE2110,Nisab,,
district1,YE2111,Hatib,,
district1,YE2112,As Sa'id,,
district1,YE2113,Ataq,,
district1,YE2114,Habban,,
district1,YE2115,Ar Rawdah,,
district1,YE2116,Mayfa'ah,,
district1,YE2117,Radum,,
district1,YE2201,Baqim,,
district1,YE2202,Qatabir,,
district1,YE2203,Monabbih,,
district1,YE2204,Ghamr,,
district1,YE2205,Razih,,
district1,YE2206,Shada'a,,
district1,YE2207,Adh Dhahir,,
district1,YE2208,Haydan,,
district1,YE2209,Saqin,,
district1,YE2210,Majz,,
district1,YE2211,Sahar,,
district1,YE2212,As Safra,,
district1,YE2213,Al Hashwah,,
district1,YE2214,Kitaf wa Al Boqa',,
district1,YE2215,Sa'dah,,
district1,YE2301,Hamdan,,
district1,YE2302,Arhab,,
district1,YE2303,Nihm,,
district1,YE2304,Bani Hushaysh,,
district1,YE2305,Sanhan wa Bani Bahlul,,
district1,YE2306,Bilad Ar Rus,,
district1,YE2307,Bani Matar,,
district1,YE2308,Al Haymah Ad Dakhiliyah,,
district1,YE2309,Al Haymah Al Kharijiyah,,
district1,YE2310,Manakhah,,
district1,YE2311,Sa'fan,,
district1,YE2312,Khawlan,,
district1,YE2313,At Tyal,,
district1,YE2314,Bani Dabyan,,
district1,YE2315,Al Hissn,,
district1,YE2316,Jihanah,,
district1,YE2401,Dar Sa'd,,
district1,YE2402,Ash Shaykh Othman,,
district1,YE2403,Al Mansurah,,
district1,YE2404,Al Burayqah,,
district1,YE2405,At Tawahi,,
district1,YE2406,Al Mu'alla,,
district1,YE2407,Kritar - Sirah,,
district1,YE2408,Khur Maksar,,
district1,YE2501,Al Had,,
district1,YE2502,Yafi',,
district1,YE2503,Al Maflahi,,
district1,YE2504,Yahr,,
district1,YE2505,Habil Jabr,,
district1,YE2506,Halmin,,
district1,YE2507,Radfan,,
district1,YE2508,Al Malah,,
district1,YE2509,Al Musaymir,,
district1,YE2510,Al Qubaytah,,
district1,YE2511,Tur Al Bahah,,
district1,YE2512,Al Maqatirah,,
district1,YE2513,Al Madaribah Wa Al Aarah,,
district1,YE2514,Al Hawtah,,
district1,YE2515,Tuban,,
district1,YE2601,Majzar,,
district1,YE2602,Raghwan,,
district1,YE2603,Madghal Al Jid'an,,
district1,YE2604,Harib Al Qaramish,,
district1,YE2605,Bidbadah,,
district1,YE2606,Sirwah,,
district1,YE2607,Al Jubah,,
district1,YE2608,Rahabah,,
district1,YE2609,Harib,,
district1,YE2610,Mahliyah,,
district1,YE2611,Al Abdiyah,,
district1,YE2612,Ma'rib City,,
district1,YE2613,Ma'rib,,
district1,YE2614,Jabal Murad,,
district1,YE2701,Shibam Kawkaban,,
district1,YE2702,At Tawilah,,
district1,YE2703,Ar Rujum,,
district1,YE2704,Al Khabt,,
district1,YE2705,Melhan,,
district1,YE2706,Hufash,,
district1,YE2707,Bani Sa'd,,
district1,YE2708,Al Mahwit City,,
district1,YE2709,Al Mahwit,,
district1,YE2801,Shahin,,
district1,YE2802,Hat,,
district1,YE2803,Hawf,,
district1,YE2804,Al Ghaydhah,,
district1,YE2805,Man'ar,,
district1,YE2806,Al Masilah,,
district1,YE2807,Sayhut,,
district1,YE2808,Qishn,,
district1,YE2809,Haswin,,
district1,YE2901,Harf Sufyan,,
district1,YE2902,Huth,,
district1,YE2903,Al Ashah,,
district1,YE2904,Qaflat Odhar,,
district1,YE2905,Shaharah,,
district1,YE2906,Al Madan,,
district1,YE2907,Suwayr,,
district1,YE2908,Dhulaymat Habur,,
district1,YE2909,Dhibain,,
district1,YE2910,Kharif,,
district1,YE2911,Raydah,,
district1,YE2912,Jabal Eyal Yazid,,
district1,YE2913,As Sudah,,
district1,YE2914,As Sawd,,
district1,YE2915,Amran,,
district1,YE2916,Maswar,,
district1,YE2917,Thula,,
district1,YE2918,Eyal Surayh,,
district1,YE2919,Khamir,,
district1,YE2920,Bani Surim,,
district1,YE3001,Juban,,
district1,YE3002,Damt,,
district1,YE3003,Qa'tabah,,
district1,YE3004,Ash Shu'ayb,,
district1,YE3005,Al Hasayn,,
district1,YE3006,Ad Dali',,
district1,YE3007,Jahaf,,
district1,YE3008,Al Azariq,,
district1,YE3009,Al Husha,,
district1,YE3101,Bilad Atta'am,,
district1,YE3102,As Salafiyyah,,
district1,YE3103,Al Jabin,,
district1,YE3104,Mazhar,,
district1,YE3105,Kusmah,,
district1,YE3106,Al Ja'fariyyah,,
district1,YE3201,Hadibu,,
district1,YE3202,Qalansiyah wa Abd Al Kuri,,
,,,,
TRUE,1,Yes,,
FALSE,0,No,,
,,,,
qq1,Fire_place,Fire place,,
qq1,Gas_stove,Gas stove,,
qq1,Electrical_stove,Electrical stove,,
qq1,Clay_oven,Clay oven,,
qq1,other_please_specify,Other (please specify),,
,,,,
qq2,Inside_shelter,Inside shelter,,
qq2,next_to_shelter,Next to shelter ,,
qq2,shared_cooking_space,Shared cooking space ,,
qq2,other_please_specify,Other (please specify),,
,,,,
qq4,fire_points,Fire points,,
qq4,fire_wardens,Fire wardens,,
qq4,fire_breaks,Fire breaks,,
qq4,escape_routes,Escape routes,,
qq4,none,None,,
qq4,Other_please_specify,Other (please specify),,
,,,,
qq3 ,mud_guards,Mud guards,,
qq3 ,wind_Shields,Wind shields ,,
qq3 ,safe_distance_from_shelter,Safe distance from shelter,,
qq3 ,none,None,,
qq3 ,other_please_specify,Other (please specify),,
qq3,mud_guards wind_Shields,"Mud guards, Wind shields ",,
qq3,mud_guards wind_Shields safe_distance_from_shelter,"Mud guards, Wind shields, Safe distance from shelter",,
qq3,mud_guards wind_Shields safe_distance_from_shelter other_please_specify,"Mud guards, Wind shields, Safe distance from shelter, Other (please specify)",,
qq3,mud_guards safe_distance_from_shelter,"Mud guards, Safe distance from shelter",,
qq3,mud_guards other_please_specify,"Mud guards, Other (please specify)",,
qq3,wind_Shields safe_distance_from_shelter,"Wind shields, Safe distance from shelter",,
qq3,wind_Shields safe_distance_from_shelter other_please_specify,"Wind shields, Safe distance from shelter, Other (please specify)",,
qq3,wind_Shields other_please_specify,"Wind shields, Other (please specify)",,
qq3,safe_distance_from_shelter other_please_specify,"Safe distance from shelter, Other (please specify)",,
